,Capital,Country,Latitude,Longitude
0,Abu Dhabi,United Arab Emirates,23.99764435,53.6439097569213
1,Amman,Jordan,31.9515694,35.9239625
2,Amsterdam,Netherlands,52.3745403,4.89797550561798
3,Andorra la Vella,Andorra,42.5069391,1.5212467
4,Ankara,Turkey,39.9215219,32.8537929
5,Athens,Greece,37.9841493,23.7279843
6,Baku,Azerbaijan,40.3754434,49.8326748
7,Bandar Seri Begawan,Brunei,4.8895453,114.9417574
8,Bangkok,Thailand,13.7538929,100.8160803
9,Beijing,China,39.906217,116.3912757
10,Beirut,Lebanon,33.8959203,35.47843
11,Belgrade,Serbia,44.8178131,20.4568974
12,Berlin,Germany,52.5170365,13.3888599
13,Bern,Switzerland,46.9482713,7.4514512
14,Bogotá,Colombia,4.5980772,-74.0761028
15,Brasília,Brazil,-10.3333333,-53.2
16,Bratislava,Slovakia,48.1359085,17.1597440625
17,Brussels,Belgium,50.8465573,4.351697
18,Bucharest,Romania,44.4361414,26.1027202
19,Budapest,Hungary,47.4983815,19.0404707
20,Buenos Aires,Argentina,-34.6075616,-58.437076
21,Cairo,Egypt,30.048819,31.243666
22,Canberra,Australia,-35.2975906,149.1012676
23,Copenhagen,Denmark,55.6867243,12.5700724
24,Doha,Qatar,25.2856329,51.5264162
25,Dublin,Ireland,53.3497645,-6.2602732
26,Guatemala City,Guatemala,14.6222328,-90.5185188
27,Hanoi,Vietnam,21.0294498,105.8544441
28,Helsinki,Finland,60.1713198,24.9414566
29,Jakarta,Indonesia,-6.1753942,106.827183
30,Kingston,Jamaica,17.9712148,-76.7928128
31,Kuala Lumpur,Malaysia,3.1516636,101.6943028
32,Kuwait City,Kuwait,29.3797091,47.9735629
33,Lima,Peru,-12.0621065,-77.0365256
34,Lisbon,Portugal,38.7077507,-9.1365919
35,London,United Kingdom,51.5073219,-0.1276474
36,Luxembourg,Luxembourg,49.8158683,6.1296751
37,Madrid,Spain,40.4167047,-3.7035825
38,Manama,Bahrain,26.2235041,50.5822436
39,Manila,Philippines,14.5906216,120.9799696
40,Mexico City,Mexico,19.4326009,-99.1333416
41,Monaco,Monaco,43.7311424,7.4197576
42,Montevideo,Uruguay,-34.9059039,-56.1913569
43,Moscow,Russia,55.7504461,37.6174943
44,Muscat,Oman,23.5125498,58.5514017715319
45,Nassau,Bahamas,25.0783456,-77.3383331
46,New Delhi,India,28.6141793,77.2022662
47,Nicosia,Cyprus,35.180282,33.3736958666529
48,Nursultan,Kazakhstan,43.0863677,77.1203365
49,Oranjestad,Aruba,12.5268736,-70.0356845
50,Oslo,Norway,59.9133301,10.7389701
51,Ottawa,Canada,45.2603984,-75.8082383
52,Panama City,Panama,8.9714493,-79.5341802
53,Paris,France,48.8566101,2.3514992
54,Phnom Penh,Cambodia,11.568271,104.9224426
55,Port of Spain,Trinidad and Tobago,10.6572678,-61.5180173
56,Prague,Czech Republic,50.0874654,14.4212535
57,Cape Town,South Africa,-33.928992,18.417396
58,Rabat,Morocco,34.022405,-6.834543
59,Riyadh,Saudi Arabia,24.6319692,46.7150648
60,Rome,Italy,41.894802,12.4853384
61,San José,Costa Rica,9.9325427,-84.0795782
62,San Juan,Puerto Rico,18.465299,-66.116666
63,San Salvador,El Salvador,13.6989939,-89.1914249
64,Santiago,Chile,-33.4377968,-70.6504451
65,Seoul,South Korea,37.5666791,126.9782914
66,Singapore,Singapore,1.3408528,103.878446863736
67,Sofia,Bulgaria,42.6978634,23.3221789
68,Stockholm,Sweden,59.3251172,18.0710935
69,La Paz,Bolivia,-16.4956371,-68.1336346
70,Taipei,Taiwan,25.0375198,121.5636796
71,Tokyo,Japan,35.6828387,139.7594549
72,Vienna,Austria,48.2083537,16.3725042
73,Warsaw,Poland,52.2319237,21.0067265
74,Washington,United States,38.8950092,-77.0365625
75,Wellington,New Zealand,-41.2887467,174.7772092
76,Willemstad,Curaçao,12.1091242,-68.9316546
